,cost,reduced_scenario,probability
368,75287908.7760667,275.0,0.0
369,74817912.87538539,141.0,0.0
370,74969861.3182292,167.0,0.0
371,75104833.40704705,456.0,0.0
372,75410223.56321235,132.0,0.0
373,75216841.59418784,122.0,0.0
374,75128709.05037363,456.0,0.0
375,75105789.8051135,456.0,0.0
376,74834272.77526888,141.0,0.0
377,75620381.41518283,313.0,0.0
378,75065396.50915876,456.0,0.0
379,75284874.08317891,275.0,0.0
380,75437609.32335307,132.0,0.0
381,75476187.65380427,132.0,0.0
382,74894856.7179284,261.0,0.0
383,75328184.47143897,275.0,0.0
384,74841807.20585416,141.0,0.0
385,75720028.69141653,97.0,0.0
386,75942286.009272,342.0,0.0
387,75314515.6658394,275.0,0.0
388,74898391.06060293,261.0,0.0
389,74949077.0261501,261.0,0.0
390,74841921.76621318,141.0,0.0
391,75403274.53026345,132.0,0.0
392,75317472.94719449,275.0,0.0
393,74827302.1533602,141.0,0.0
394,75197538.95288184,122.0,0.0
395,74524009.96612138,221.0,0.0
396,74639332.58100773,344.0,0.0
397,75639693.98842074,313.0,0.0
398,74899747.10101898,261.0,0.0
399,75372514.15110931,132.0,0.0
400,75305870.40790692,275.0,0.0
401,74976665.13715968,167.0,0.0
402,75224641.49794362,122.0,0.0
403,75414690.67566335,132.0,0.0
404,75307920.09917867,275.0,0.0
405,74924243.403641,261.0,0.0
406,75485089.7957511,436.0,0.0
407,75000372.76605955,167.0,0.0
408,75583592.66530411,313.0,0.0
409,75164319.45918956,122.0,0.0
410,75338019.04373272,275.0,0.0
411,75800590.373312,285.0,0.0
412,75402180.3611139,132.0,0.0
413,75190237.34816931,122.0,0.0
414,74491809.36740857,221.0,0.0
415,75065197.65915363,456.0,0.0
416,76243095.94588321,299.0,0.0
417,74992584.80476464,167.0,0.0
418,75358714.65744762,275.0,0.0
419,75168608.95350291,122.0,0.0
420,75451091.7101045,132.0,0.0
421,75480160.42452106,436.0,0.0
422,75273229.59839302,275.0,0.0
423,74828646.48650067,141.0,0.0
424,74725317.6191102,344.0,0.0
425,75084008.80415852,456.0,0.0
426,76177459.44185774,299.0,0.0
427,74829417.8612945,141.0,0.0
428,75247197.61152956,122.0,0.0
429,74852396.64464135,141.0,0.0
430,74534869.06495988,221.0,0.0
431,75229395.20873314,122.0,0.0
432,75471786.07965589,132.0,0.0
433,74961951.46434063,261.0,0.0
434,75313642.41700983,275.0,0.0
435,75068143.93788129,456.0,0.0
436,75521398.20507807,436.0,0.06200000000000001
437,74898816.6197823,261.0,0.0
438,74969285.83630875,167.0,0.0
439,75651189.54643303,313.0,0.0
440,74497847.98862997,221.0,0.0
441,76106400.54238343,342.0,0.0
442,74672392.73240663,344.0,0.0
443,75428734.56063303,132.0,0.0
444,75287612.5506534,275.0,0.0
445,74752390.42949165,141.0,0.0
446,75543602.45600897,436.0,0.0
447,75411233.49893522,132.0,0.0
448,75298299.41152366,275.0,0.0
449,74554431.2592306,221.0,0.0
450,75230682.62084788,122.0,0.0
451,75277646.44175191,275.0,0.0
452,75202437.037517,122.0,0.0
453,75116142.74747396,456.0,0.0
454,74841182.10102162,141.0,0.0
455,75455182.96246469,132.0,0.0
456,75095201.20621961,456.0,0.09400000000000001
457,75055727.2837236,456.0,0.0
458,75599766.18388747,313.0,0.0
459,75606681.95292616,313.0,0.0
460,74480131.11202309,221.0,0.0
461,75557315.19665933,436.0,0.0
462,75581817.49502563,313.0,0.0
463,75963593.40424393,342.0,0.0
464,75555346.0742894,436.0,0.0
465,75169913.51056868,122.0,0.0
466,75159946.2425639,122.0,0.0
467,75227849.28005931,122.0,0.0
468,75567153.69668911,436.0,0.0
469,75550805.19368996,436.0,0.0
470,74176593.93045811,229.0,0.0
471,74995802.42639387,167.0,0.0
472,75674475.9846638,97.0,0.0
473,75953621.48085731,342.0,0.0
474,75010918.06821999,167.0,0.0
475,75510719.53653033,436.0,0.0
476,75116924.40407114,456.0,0.0
477,75448978.61810355,132.0,0.0
478,74573050.40993945,221.0,0.0
479,74752773.8927106,141.0,0.0
480,75751942.00979944,97.0,0.0
481,75298563.80569923,275.0,0.0
482,76390070.83404097,299.0,0.0
483,74769382.45885763,141.0,0.0
484,74834739.54799528,141.0,0.0
485,74613155.00893565,221.0,0.0
486,74926316.36457387,261.0,0.0
487,74649764.85547729,344.0,0.0
488,74919326.3783534,261.0,0.0
489,74713088.33918168,344.0,0.0
490,75293419.03603694,275.0,0.0
491,74785106.28021975,141.0,0.0
492,75184330.07892592,122.0,0.0
493,74681750.9798892,344.0,0.0
494,75727579.99191874,97.0,0.0
495,74743352.40875317,344.0,0.0
496,75517168.98435856,436.0,0.0
497,75366441.1134678,275.0,0.0
498,75190599.77343285,122.0,0.0
499,75401967.90329333,132.0,0.0
